OBJECTID_12_13 *,Shape *,num,name,loc1,loc2,lat,long,EMD_CD
1,Point,103,망원역 2번출구 앞,마포구,서울특별시 마포구 월드컵로 79,37.554951,126.910835,11440123
2,Point,104,합정역 1번출구 앞,마포구,서울특별시 마포구 양화로 59,37.550629,126.914986,11440120
3,Point,105,합정역 5번출구 앞,마포구,서울특별시 마포구 양화로 48,37.550007,126.914825,11440120
4,Point,106,합정역 7번출구 앞,마포구,서울특별시 마포구 독막로 4,37.548645,126.912826,11440122
5,Point,107,신한은행 서교동지점,마포구,서울특별시 마포구 월드컵북로 35,37.55751,126.918503,11440120
6,Point,108,서교동 사거리,마포구,서울특별시 마포구 양화로 93,37.552746,126.918617,11440120
7,Point,109,제일빌딩 앞,마포구,서울특별시 마포구 어울마당로 26,37.547691,126.919983,11440118
8,Point,111,상수역 2번출구 앞,마포구,서울특별시 마포구 와우산로 40,37.547871,126.923531,11440115
9,Point,112,극동방송국 앞,마포구,서울특별시 마포구 와우산로 56,37.549202,126.923203,11440115
10,Point,113,홍대입구역 2번출구 앞,마포구,서울특별시 마포구 양화로 165,37.557438,126.923821,11440121
11,Point,114,홍대입구역 8번출구 앞,마포구,서울특별시 마포구 양화로18길 3,37.55706,126.924423,11440121
12,Point,116,일진아이윌아파트 옆,서대문구,서울특별시 서대문구 동교로 290,37.564541,126.927071,11410117
13,Point,117,홍은사거리,서대문구,마포구 서강로1길 30 ,37.59116,126.94133,11410118
14,Point,118,광흥창역 2번출구 앞,마포구,서울특별시 마포구 독막로 지하165,37.547733,126.931763,11440114
15,Point,119,서강나루 공원,마포구,서울특별시 마포구 창전로 30,37.545284,126.931053,11440114
16,Point,120,신수동 사거리,마포구,서울특별시 마포구 토정로 211,37.545242,126.934113,11440111
17,Point,121,마포소방서 앞,마포구,서울특별시 마포구 창전로 76,37.549767,126.933174,11440111
18,Point,124,서강대 정문 건너편,마포구,서울특별시 마포구 서강로16길 72,37.55114,126.936989,11440111
19,Point,125,서강대 남문 옆,마포구,서울특별시 마포구 백범로 35,37.549484,126.93895,11440111
20,Point,127,현대벤처빌 앞,마포구,서울특별시 마포구 백범로 10,37.55352,126.936951,11440110
21,Point,128,신촌역(2호선) 1번출구 옆,서대문구,서울특별시 서대문구 연세로 3-5,37.555496,126.93634,11410116
22,Point,130,신촌역(2호선) 7번출구 앞,마포구,서울특별시 마포구 신촌로 94,37.554859,126.936157,11440110
23,Point,131,증산2교,서대문구,서울특별시 서대문구 증가로 264,37.584171,126.911102,11410119
24,Point,133,해담는다리,서대문구,서울특별시 서대문구 불광천길 150,37.582031,126.908997,11410119
25,Point,134,연세로 명물길,서대문구,서울특별시 서대문구 명물길 33,37.557892,126.93808,11410116
26,Point,135,명물길 원형무대 앞,서대문구,서대문구 창천동 31-69,37.559101,126.939178,11410116
27,Point,137,신촌기차역입구 교차로,서대문구,서울특별시 서대문구 연세로2다길 58,37.556812,126.943184,11410112
28,Point,138,신촌동 제1공영주차장 앞,서대문구,서울특별시 서대문구 증가로 264,37.559177,126.934524,11410116
29,Point,140,이화여대 후문,서대문구,서울특별시 서대문구 연세로 50-1,37.560009,126.940735,11410114
30,Point,141,연대 대운동장 옆,서대문구,서울특별시 서대문구 연세로 50,37.562382,126.932648,11410117
31,Point,142,아현역 4번출구 앞,마포구,서울특별시 마포구 아현동 329-15,37.557201,126.955666,11440101
32,Point,143,공덕역 2번출구,마포구,서울특별시 마포구 공덕동 257-88,37.544579,126.950218,11440102
33,Point,146,마포역 2번출구 뒤,마포구,서울특별시 마포구 도화동 555-2,37.539936,126.945824,11440104
34,Point,148,용강동 주민센터 앞,마포구,서울특별시 마포구 용강동 234-1,37.542347,126.943024,11440105
35,Point,150,서강대역 2번출구 앞,마포구,서울특별시 마포구 노고산동 112-13,37.552956,126.934341,11440110
36,Point,154,마포구청역,마포구,서울특별시 마포구 망원동 477-23,37.560909,126.905495,11440123
37,Point,155,가좌역1 번출구 뒤,마포구,서울특별시 마포구 성산동123-29,37.568295,126.915047,11440125
38,Point,156,서울서부지방법원 앞,마포구,서울특별시 마포구 공덕동 105-11,37.549332,126.954918,11440102
39,Point,157,애오개역 4번출구 앞,마포구,서울특별시 마포구 아현동 607-1,37.553001,126.956688,11440101
40,Point,159,이대역 4번 출구,서대문구,서울특별시 서대문구 대현동 60-11,37.556953,126.946343,11410112
41,Point,160,북아현동 가구거리,서대문구,서울특별시 서대문구 북아현동 251-78,37.557549,126.959381,11410110
42,Point,161,무악재역1번 출구,서대문구,서울특별시 서대문구 통일로 380-4,37.582245,126.950645,11410111
43,Point,162,봉원고가차도 밑,서대문구,서울특별시 서대문구 대신동 143-1,37.565269,126.946243,11410113
44,Point,164,북가좌1동 주민센터,서대문구,서울특별시 서대문구 북가좌동 477-1,37.574478,126.910049,11410119
45,Point,165,중앙근린공원,서대문구,서울특별시 서대문구 북가좌동 470-1,37.575138,126.91394,11410120
46,Point,166,가재울 초등학교,서대문구,서울특별시 서대문구 연희동 530,37.573818,126.919235,11410120
47,Point,167,연가초등학교 옆,서대문구,서울특별시 서대문구 북가좌동 70-119,37.57946,126.91713,11410120
48,Point,169,북가좌 삼거리,서대문구,서울특별시 서대문구 북가좌동 400,37.573002,126.907799,11410119
49,Point,170,DMC파크뷰자이아파트 302동 앞,서대문구,서울특별시 서대문구 남가좌동 124,37.573112,126.922447,11410120
50,Point,173,서대문역 8번출구 앞,서대문구,서울특별시 서대문구 충정로2가 138,37.564777,126.966148,11410101
51,Point,178,증산3교 앞,서대문구,서울특별시 서대문구 북가좌동 352-9,37.579876,126.906349,11410119
52,Point,179,가좌역 4번출구 앞,서대문구,서울특별시 서대문구 남가좌동 293-3 ,37.569122,126.914795,11410120
53,Point,180,충정로역 7번출구 아래,서대문구,서울특별시 서대문구 충정로3가 56-1,37.559967,126.962463,11410102
54,Point,181,망원초록길 입구,마포구,서울특별시 마포구 마포나루길 467,37.551342,126.902672,11440123
55,Point,182,망원2빗물펌프장 앞,마포구,서울특별시?마포구?동교로?8,37.551365,126.903061,11440123
56,Point,183,하늘채코오롱아파트 건너편,마포구,서울특별시 마포구 연남로 30,37.565166,126.919395,11440124
57,Point,184,7번가피자 서교망원점,마포구,서울특별시 마포구 월드컵로 119,37.558949,126.907753,11440125
58,Point,185,마포 신수공원 앞,마포구,서울특별시 마포구 현석동 106-32,37.542545,126.934296,11440112
59,Point,186,월드컵공원,마포구,서울특별시 마포구 하늘공원로 108-1,37.563965,126.898209,11440125
60,Point,188,홍은동 정원여중 입구,서대문구,서울특별시 서대문구 연희로37안길 51,37.586388,126.935127,11410118
61,Point,191,서우빌딩,서대문구,서울특별시 서대문구 응암로 66,37.578892,126.910736,11410119
62,Point,192,연서어린이공원,서대문구,서울특별시 서대문구 연희동 519-7,37.572227,126.923065,11410117
63,Point,194,증산교 앞,서대문구,서울특별시 서대문구 불광천길 36,37.577316,126.902969,11410119
64,Point,195,모래내고가차도,서대문구,서울특별시 서대문구 연희동 446-76,37.567657,126.917809,11410117
65,Point,196,연희교차로 인근,서대문구,서울특별시 서대문구 홍제천로 48,37.56612,126.925896,11410117
66,Point,198,충정2교,서대문구,서울특별시 서대문구 충정로3가 155-4,37.562138,126.963776,11410102
67,Point,200,국회의원회관,영등포구,서울특별시 영등포구 의사당대로 1,37.528416,126.913917,11560110
68,Point,201,진미파라곤 앞,영등포구,서울특별시 영등포구 국회대로76길 10,37.531239,126.921333,11560110
69,Point,203,국회의사당역 3번출구 옆,영등포구,서울특별시 영등포구 국회대로 지하758,37.528057,126.918701,11560110
70,Point,205,산업은행 앞,영등포구,서울특별시 영등포구 의사당대로 97,37.526264,126.920509,11560110
71,Point,207,여의나루역 1번출구 앞,영등포구,서울특별시 영등포구 여의동로 지하343,37.527157,126.9319,11560110
72,Point,209,유진투자증권빌딩 앞,영등포구,서울특별시 영등포구 국제금융로 24,37.524612,126.927834,11560110
73,Point,211,여의도역 4번출구 옆,영등포구,서울특별시 영등포구 국회대로68길 7,37.522228,126.924637,11560110
74,Point,212,여의도역 1번출구 옆,영등포구,서울특별시 영등포구 의사당대로 88,37.521362,126.923462,11560110
75,Point,213,KT앞,영등포구,서울특별시 영등포구 여의대로 38,37.521908,126.918953,11560110
76,Point,214,금융감독원 앞,영등포구,서울특별시 영등포구 여의대로 38,37.523022,126.920837,11560110
77,Point,215,여의도고교 앞,영등포구,서울특별시 영등포구 국제금융로7길 37,37.524837,126.934906,11560110
78,Point,217,NH농협은행 앞,영등포구,서울특별시 영등포구 국제금융로8길 2,37.522079,126.930367,11560110
79,Point,219,롯데캐슬엠파이어 옆,영등포구,서울특별시 영등포구 의사당대로 127,37.520695,126.925835,11560110
80,Point,220,미성아파트 A동 앞,영등포구,서울특별시 영등포구 의사당대로 110,37.519363,126.926048,11560110
81,Point,221,여의도초교 앞,영등포구,서울특별시 영등포구 여의대방로 439,37.522675,126.93779,11560110
82,Point,222,시범아파트버스정류장 옆,영등포구,서울특별시 영등포구 63로 45,37.519436,126.937599,11560110
83,Point,223,진주아파트상가 앞,영등포구,서울특별시 영등포구 국제금융로 108-6,37.519314,126.933166,11560110
84,Point,224,롯데캐슬 앞,영등포구,서울특별시 영등포구 국제금융로 86,37.520088,126.932365,11560110
85,Point,225,앙카라공원 앞,영등포구,서울특별시 영등포구 의사당대로 지하166,37.517368,126.929253,11560110
86,Point,226,샛강역 1번출구 앞,영등포구,서울특별시 영등포구 의사당대로 지하166,37.517765,126.928413,11560110
87,Point,227,양평2나들목 보행통로 입구,영등포구,서울특별시 영등포구 양화동 17-4,37.544666,126.888359,11560131
88,Point,228,선유도역 3번출구 앞,영등포구,서울특별시 영등포구 양평동4가 202-1,37.53846,126.894508,11560128
89,Point,229,양평1 보행육교 앞,영등포구,서울특별시 영등포구 양평동4가 20-4,37.535873,126.892181,11560129
90,Point,230,영등포구청역 1번출구,영등포구,서울특별시 영등포구 당산로 111-2,37.524635,126.896217,11560113
91,Point,231,남부고용노동지청 남측,영등포구,서울특별시 영등포구 양평동1가 115-2,37.524506,126.891823,11560125
92,Point,232,양평우림 이비즈센타 앞,영등포구,서울특별시 영등포구 양평동3가 14-1,37.52565,126.887817,11560127
93,Point,233,양평1동 YP센터 앞,영등포구,서울특별시 영등포구 양평동3가 60-1,37.528488,126.891647,11560127
94,Point,234,영등포구민체육센터 앞,영등포구,서울특별시 영등포구 신길동 399 ,37.500462,126.905846,11560132
95,Point,235,신길동 우리은행 옆,영등포구,서울특별시 영등포구 신길동 250-4 ,37.504566,126.910233,11560132
96,Point,236,문래동자이아파트 앞,영등포구,서울특별시 영등포구 문래동3가 68-1,37.516155,126.894615,11560121
97,Point,237,보라매 두산위브 건너편,동작구,서울특별시 영등포구 신길동 4490 ,37.496513,126.914803,11560132
98,Point,238,제2구민체육센타 앞,영등포구,서울특별시 영등포구 당산동4가 96-2,37.526386,126.902756,11560114
99,Point,239,유스호스텔 앞,영등포구,서울특별시 영등포구 영등포동7가 58-2,37.525852,126.903282,11560108
100,Point,240,문래역 4번출구 앞,영등포구,서울특별시 영등포구 문래동3가 55-12 ,37.518738,126.895577,11560121
101,Point,241,신길우성1차아파트 앞 공원,영등포구,서울특별시 영등포구 도림동 255-2 ,37.505016,126.898537,11560118
102,Point,244,영등포삼환아파트 앞,영등포구,서울특별시 영등포구 영등포동8가 82-4 ,37.530079,126.905708,11560109
103,Point,247,당산역 10번출구 앞,영등포구,서울특별시 영등포구 당산동5가 14-4,37.533688,126.902107,11560115
104,Point,248,초원아파트 앞,영등포구,서울특별시 영등포구 여의도동8-13,37.531055,126.92421,11560110
105,Point,249,여의도중학교 옆,영등포구,서울특별시 영등포구 여의도동 8,37.524349,126.936119,11560110
106,Point,250,대림아파트 사거리,영등포구,서울특별시 영등포구 신길동 249,37.507641,126.92308,11560132
107,Point,251,서울지방병무청 버스정류장,영등포구,서울특별시 영등포구 신길동853,37.504494,126.921951,11560132
108,Point,252,보라매역4번출구,영등포구,서울특별시 영등포구 신길동4884,37.499828,126.919945,11560132
109,Point,253,신풍역 5번출구 인근,영등포구,서울특별시 영등포구 신길동3596,37.500648,126.909515,11560132
110,Point,254,도림신협 앞,영등포구,서울특별시 영등포구 신길동263-76,37.503803,126.903419,11560132
111,Point,255,도림사거리,영등포구,서울특별시 영등포구 신길동373-1,37.506573,126.901131,11560118
112,Point,256,동아에코빌입구,영등포구,서울특별시 영등포구 도림동 159-70,37.509476,126.8993,11560118
113,Point,258,신길역3번출구,영등포구,서울특별시 영등포구 영등포동1가35,37.517693,126.914299,11560102
114,Point,259,대방역6번출구,영등포구,서울특별시 영등포구 신길동1368,37.513592,126.925934,11560132
115,Point,260,여의도 마리나선착장 앞,영등포구,서울특별시 영등포구 여의서로 160,37.533657,126.912163,11560110
116,Point,262,영문초등학교 사거리,영등포구,서울특별시 영등포구 문래로 56,37.519928,126.889183,11560124
117,Point,263,근로자회관 사거리,영등포구,서울특별시 영등포구 선유로 34,37.517151,126.888626,11560123
118,Point,264,교보생명보험 앞,영등포구,서울특별시 영등포구 영등포로 96,37.521931,126.891617,11560112
119,Point,265,영등포유통상가 사거리,영등포구,서울특별시 영등포구 영등포로 124,37.521133,126.896538,11560111
120,Point,266,영등포청과시장 사거리,영등포구,서울특별시 영등포구 영등포로 177,37.520294,126.901192,11560105
121,Point,267,삼성화재 사옥 옆,영등포구,서울특별시 영등포구 양평로 76,37.535961,126.8983,11560128
122,Point,268,그랜드컨벤션센터 앞,영등포구,서울특별시 영등포구 양평로 58,37.534718,126.900002,11560115
123,Point,270,증권거래소후문교차로,영등포구,서울특별시 영등포구 여의나루로 76,37.522343,126.927101,11560110
124,Point,271,샛강생태공원방문자센터 앞,영등포구,서울특별시 영등포구 여의동로 48,37.518963,126.921616,11560110
125,Point,274,영등포역지하쇼핑센타 5번출구,영등포구,서울특별시 영등포구 경인로 846,37.51627,126.90686,11560101
126,Point,276,SK 영등포주유소,영등포구,서울특별시 영등포구 경인로112길 1,37.518284,126.912636,11560102
127,Point,102,망원역 1번출구 앞,마포구,서울특별시 마포구 월드컵로 72,37.555649,126.910629,11440120
128,Point,115,마스타 빌딩 앞,서대문구,서울특별시 서대문구 연희로 7,37.558933,126.927116,11410116
129,Point,122,신성기사식당 앞,마포구,서울특별시 마포구 독막로 223-1,37.547459,126.938377,11440111
130,Point,123,문화촌 공원,서대문구,서울특별시 서대문구 홍제동 277-23,37.59433,126.947388,11410111
131,Point,126,서강대 후문 옆,마포구,서울특별시 마포구 대흥로 122,37.550411,126.943848,11440108
132,Point,129,신촌역(2호선) 6번출구 옆,마포구,서울특별시 마포구 신촌로 106,37.555054,126.937569,11440110
133,Point,139,연세대 정문 건너편,서대문구,서울특별시 서대문구 연세로 42,37.559864,126.934418,11410116
134,Point,144,공덕역 8번출구,마포구,서울특별시 마포구 공덕동 438-5,37.543579,126.951324,11440102
135,Point,145,공덕역 5번출구,마포구,서울특별시 마포구 공덕동 237-9,37.54425,126.951637,11440102
