OBJECTID_12_13 *,Shape *,num,name,loc1,loc2,lat,long,EMD_CD,1월 합계,2월 합계,3월 합계,4월 합계,5월 합계,6월 합계
1,Point,103,망원역 2번출구 앞,마포구,서울특별시 마포구 월드컵로 79,37.554951,126.910835,11440123,1377,1273,2641,4535,5552,4892
2,Point,104,합정역 1번출구 앞,마포구,서울특별시 마포구 양화로 59,37.550629,126.914986,11440120,974,952,2093,3996,4767,3860
3,Point,105,합정역 5번출구 앞,마포구,서울특별시 마포구 양화로 48,37.550007,126.914825,11440120,817,751,1608,2289,2579,2037
4,Point,106,합정역 7번출구 앞,마포구,서울특별시 마포구 독막로 4,37.548645,126.912826,11440122,591,537,890,1524,1705,1413
5,Point,107,신한은행 서교동지점,마포구,서울특별시 마포구 월드컵북로 35,37.55751,126.918503,11440120,910,924,2608,5407,5998,4102
6,Point,108,서교동 사거리,마포구,서울특별시 마포구 양화로 93,37.552746,126.918617,11440120,835,691,1262,2062,2740,2427
7,Point,109,제일빌딩 앞,마포구,서울특별시 마포구 어울마당로 26,37.547691,126.919983,11440118,730,651,1234,2278,3095,2308
8,Point,111,상수역 2번출구 앞,마포구,서울특별시 마포구 와우산로 40,37.547871,126.923531,11440115,563,487,948,1859,2271,1650
9,Point,112,극동방송국 앞,마포구,서울특별시 마포구 와우산로 56,37.549202,126.923203,11440115,445,409,1019,1904,2063,1388
10,Point,113,홍대입구역 2번출구 앞,마포구,서울특별시 마포구 양화로 165,37.557438,126.923821,11440121,421,470,991,1788,2298,1815
11,Point,114,홍대입구역 8번출구 앞,마포구,서울특별시 마포구 양화로18길 3,37.55706,126.924423,11440121,2519,2215,4031,6006,7646,6563
12,Point,116,일진아이윌아파트 옆,서대문구,서울특별시 서대문구 동교로 290,37.564541,126.927071,11410117,1041,875,1858,3273,4123,3348
13,Point,117,홍은사거리,서대문구,마포구 서강로1길 30 ,37.59116,126.94133,11410118,484,446,723,1151,1171,1095
14,Point,118,광흥창역 2번출구 앞,마포구,서울특별시 마포구 독막로 지하165,37.547733,126.931763,11440114,970,781,1283,2015,2550,1966
15,Point,119,서강나루 공원,마포구,서울특별시 마포구 창전로 30,37.545284,126.931053,11440114,1337,1244,2488,4232,5210,4162
16,Point,120,신수동 사거리,마포구,서울특별시 마포구 토정로 211,37.545242,126.934113,11440111,392,392,681,948,1138,913
17,Point,121,마포소방서 앞,마포구,서울특별시 마포구 창전로 76,37.549767,126.933174,11440111,618,581,1254,2344,2869,2339
18,Point,124,서강대 정문 건너편,마포구,서울특별시 마포구 서강로16길 72,37.55114,126.936989,11440111,222,236,426,653,734,532
19,Point,125,서강대 남문 옆,마포구,서울특별시 마포구 백범로 35,37.549484,126.93895,11440111,412,361,585,967,1085,1002
20,Point,127,현대벤처빌 앞,마포구,서울특별시 마포구 백범로 10,37.55352,126.936951,11440110,532,461,820,1043,1378,1067
21,Point,128,신촌역(2호선) 1번출구 옆,서대문구,서울특별시 서대문구 연세로 3-5,37.555496,126.93634,11410116,823,799,1423,2491,3330,2713
22,Point,130,신촌역(2호선) 7번출구 앞,마포구,서울특별시 마포구 신촌로 94,37.554859,126.936157,11440110,732,654,1180,1572,1756,1407
23,Point,131,증산2교,서대문구,서울특별시 서대문구 증가로 264,37.584171,126.911102,11410119,292,283,572,994,1229,1041
24,Point,133,해담는다리,서대문구,서울특별시 서대문구 불광천길 150,37.582031,126.908997,11410119,592,516,1080,1416,1790,1368
25,Point,134,연세로 명물길,서대문구,서울특별시 서대문구 명물길 33,37.557892,126.93808,11410116,257,190,353,509,565,419
26,Point,135,명물길 원형무대 앞,서대문구,서대문구 창천동 31-69,37.559101,126.939178,11410116,727,656,1360,2192,2401,2005
27,Point,137,신촌기차역입구 교차로,서대문구,서울특별시 서대문구 연세로2다길 58,37.556812,126.943184,11410112,369,400,646,1109,1396,1093
28,Point,138,신촌동 제1공영주차장 앞,서대문구,서울특별시 서대문구 증가로 264,37.559177,126.934524,11410116,928,911,1701,2823,3376,2642
29,Point,140,이화여대 후문,서대문구,서울특별시 서대문구 연세로 50-1,37.560009,126.940735,11410114,1133,1071,2113,3325,3970,3452
30,Point,141,연대 대운동장 옆,서대문구,서울특별시 서대문구 연세로 50,37.562382,126.932648,11410117,834,885,1681,2860,3399,2695
31,Point,142,아현역 4번출구 앞,마포구,서울특별시 마포구 아현동 329-15,37.557201,126.955666,11440101,406,463,778,1386,1783,1511
32,Point,143,공덕역 2번출구,마포구,서울특별시 마포구 공덕동 257-88,37.544579,126.950218,11440102,362,334,629,947,1139,958
33,Point,146,마포역 2번출구 뒤,마포구,서울특별시 마포구 도화동 555-2,37.539936,126.945824,11440104,339,303,557,769,792,610
34,Point,148,용강동 주민센터 앞,마포구,서울특별시 마포구 용강동 234-1,37.542347,126.943024,11440105,466,411,725,1047,1325,1133
35,Point,150,서강대역 2번출구 앞,마포구,서울특별시 마포구 노고산동 112-13,37.552956,126.934341,11440110,222,219,503,734,868,541
36,Point,154,마포구청역,마포구,서울특별시 마포구 망원동 477-23,37.560909,126.905495,11440123,357,379,673,990,1204,926
37,Point,155,가좌역1 번출구 뒤,마포구,서울특별시 마포구 성산동123-29,37.568295,126.915047,11440125,405,383,613,759,931,751
38,Point,156,서울서부지방법원 앞,마포구,서울특별시 마포구 공덕동 105-11,37.549332,126.954918,11440102,325,382,530,870,937,811
39,Point,157,애오개역 4번출구 앞,마포구,서울특별시 마포구 아현동 607-1,37.553001,126.956688,11440101,487,498,952,1567,1798,1457
40,Point,159,이대역 4번 출구,서대문구,서울특별시 서대문구 대현동 60-11,37.556953,126.946343,11410112,1059,921,1903,3724,4624,3783
41,Point,160,북아현동 가구거리,서대문구,서울특별시 서대문구 북아현동 251-78,37.557549,126.959381,11410110,447,413,750,1457,1689,1382
